handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1
11,Product,ADVANCE Veterinary Diets Renal Failure ,"AVET CAT RENAL FAILURE 1,5 KG Producto de calidad Muy conveniente Fácil de usar",https://images-na.ssl-images-amazon.com/images/I/41Pw%2B3YDC5L._AC_SX569_.jpg,Comida para gatos,Advance-Gato-Renal-Failure,Gatos,11.9,0,TRUE,AMOUNT,0,,1.5,,,,,,,,,,,,,,,,,,,Cantidad,1.5kg,,,,,,,,,,,C,2,FALSE
12,Product,ADVANCE Senior Sterilized,"ADVANCE Sterilized Senior es un alimento de alta gama fácil de digerir formulado para cubrir necesidades específicas de gatos esterilizados de más de 10 años. CONTROL DE PESO. Con fibra y L-Carnitina. Reduce el nivel calórico del alimento y ayuda a metabolizar la grasa. CUIDADO RENAL. Combinación de minerales, ingredientes específicos y bajo nivel de fósforo que contribuyen al correcto funcionamiento renal. SALUD DENTAL Con minerales especiales (pirofosfatos) que ayudan a prevenir la formación de sarro y favorecen el buen aliento. SOPORTE ARTICULAR. Condroitina, glucosamina y un nivel óptimo de proteínas para ayudar a preservar el cartílago de las articulaciones y la masa muscular.",https://images-na.ssl-images-amazon.com/images/I/41lExH-y3lL._AC_SX569_.jpg,Comida para gatos,Advance-Gato-Senior,Gatos,13.45,0,TRUE,AMOUNT,0,,1.5,,,,,,,,,,,,,,,,,,,Cantidad,1.5kg,,,,,,,,,,,C,2,FALSE
13,Product,ADVANCE Sensitive Sterilized,"ADVANCE Sensitive Sterilized es un alimento completo y equilibrado especialmente formulado para gatos esterilizados con sensibilidades alimentarias.. SALMÓN: ideal para gatos con un sistema digestivo sensible, facilita la digestión L-CARNITINA Y CEBADA. Ayudan a controlar el apetito y a reducir la grasa corporal OMEGA 3 Y6, BIOTINA Y ZINC. Favorecen una piel sana y un pelo brillante COMBINACIÓN DE MINERALES e ingredientes específicos para un pH óptimo de la orina.",https://images-na.ssl-images-amazon.com/images/I/41I22Ey568L._AC_SX569_.jpg,Comida para gatos,Advance-Gato-Sensitive,Gatos,10.99,0,TRUE,AMOUNT,0,,1.5,,,,,,,,,,,,,,,,,,,Cantidad,1.5kg,,,,,,,,,,,C,2,FALSE
14,Product,ADVANCE Veterinary Diets Urinary Low Calorie,"Con energía moderada y rico en fibra para ayudar a controlar el peso Bajo en magnesio y pH de la orina, y sodio y potasio más alto para reducir la sobresaturación relativa (rss) de estruvita y oxalato Con glucosamina y condroitina: ayudan a proteger la integridad del epitelio urinario Es adecuado para gatos entre 2 y 10 kg",https://images-na.ssl-images-amazon.com/images/I/41VtEy4GaIL._AC_SX569_.jpg,Comida para gatos,Advance-Gato-Veterinary,Gatos,11.99,0,TRUE,AMOUNT,0,,1.25,,,,,,,,,,,,,,,,,,,Cantidad,1.25kg,,,,,,,,,,,C,2,FALSE
15,Product,ADVANCE Veterinary Diets Urinary Stress ,"Melisa, péptidos de pescado y triptófano para reducir el estrés, factor que predispone a la cistitis idiopática y a la micción en lugares inadecuados Bajo en magnesio y pH de la orina, y sodio y potasio más alto para reducir la sobresaturación relativa (rss) de estruvita y oxalato Con glucosamina y condroitina: ayudan a proteger la integridad del epitelio urinario Tiene pollo y arroz como ingredientes principales",https://images-na.ssl-images-amazon.com/images/I/41bHkG4rwTL._AC_SX569_.jpg,Comida para gatos,Advance-Gato-Uninary-Stress,Gatos,11.99,0,TRUE,AMOUNT,0,,1.25,,,,,,,,,,,,,,,,,,,Cantidad,1.25kg,,,,,,,,,,,C,2,FALSE
16,Product,ADVANCE Veterinary Diets Weight Balance,Alto contenido en proteína (40%) que contribuye al mantenimiento de la masa muscular Con l-carnitina que ayuda a quemar grasa Mantenimiento del peso corporal objetivo tras adelgazar Alto contenido en fibra: efecto saciante,https://images-na.ssl-images-amazon.com/images/I/41sTmSfPC5L._AC_SX569_.jpg,Comida para gatos,Advance-Gato-Weight-Balance,Gatos,11.99,0,TRUE,AMOUNT,0,,1.5,,,,,,,,,,,,,,,,,,,Cantidad,1.5kg,,,,,,,,,,,C,2,FALSE
17,Product,Advance Pienso para Perro Maxi Adulto con Pollo  18kg,Cuida de tu mascota con los mejores productos.,https://images-na.ssl-images-amazon.com/images/I/41casxMnpDL._AC_SX569_.jpg,Comida para perros,Advance-Perro-Maxi-Adulto,Perros,64,0,TRUE,AMOUNT,0,,18,,,,,,,,,,,,,,,,,,,Cantidad,18kg,,,,,,,,,,,C,2,FALSE
18,Product,Advance Pienso para Perro Medium Adulto con Pollo  14000 gr,Ideal muscle mass: nivel óptimo de proteínas para ayudar a mantener una masa muscular ideal. Easy digestion: pollo y arroz como ingredientes principales. Fuentes excelentes de proteínas y carbohidratos de fácil digestión. Dental health: partícula crujiente con efecto cepillado y pirofosfatos que ayudan a prevenir el sarro y favorecen el buen aliento. Skin & Coat care: Omega 3 y 6 para ayudar a mantener la piel sana y un pelo brillante.,https://images-na.ssl-images-amazon.com/images/I/41h3m2RAbJL._AC_SX569_.jpg,Comida para perros,Advance-Perro-Medium-Adulto,Perros,46,0,TRUE,AMOUNT,0,,14,,,,,,,,,,,,,,,,,,,Cantidad,14kg,,,,,,,,,,,C,2,FALSE
19,Product,ADVANCE Adult Mini  ,"ADVANCE Adult Mini es un alimento de alta gama formulado para cubrir las necesidades nutricionales de perros adultos de razas pequeñas. FÁCIL DIGESTIÓN. Pollo y arroz como ingredientes principales, excelentes fuentes de proteínas y carbohidratos fáciles de digerir. SALUD DENTAL. Partícula crujiente con efecto cepillado y pirofosfatos que ayudan a prevenir el sarro y favorecen el buen aliento. MASA MUSCULAR. Nivel óptimo de proteínas para ayudar a mantener una masa muscular ideal. CUIDADO DE LA PIEL Y EL PELO. Omega 3 y 6 para ayudar a mantener la piel sana y un pelo brillante.",https://images-na.ssl-images-amazon.com/images/I/41j11hZT85L._AC_SX569_.jpg,Comida para perros,Advance-Perro-Adulto-Mini,Perros,14.99,0,TRUE,AMOUNT,0,,3,,,,,,,,,,,,,,,,,,,Cantidad,3kg,,,,,,,,,,,C,2,FALSE
20,Product,ADVANCE Veterinary Diets Articular Care Senior  ,"ADVANCE VETERINARY DIETS ARTICULAR SENIOR es un alimento formulado para la recuperación y el apoyo nutricional al tratamiento médico de perros de más de 7 años con problemas de articulaciones. COLÁGENO HIDROLIZADO, contribuye a la regeneración del cartílago articular. ÁCIDO HIALURÓNICO, Omega 3 y 6 que ayudan a controlar la respuesta inflamatoria. GLUCOSAMINA y CONDROITINA que ayudan a reducir el desgaste del cartílago. EXTRACTO DE HIERBA LUISA Y LEUCINA que ayudan a la acción antioxidante y a regenerar la masa muscular.",https://images-na.ssl-images-amazon.com/images/I/41ySG5zZY%2BL._AC_SX569_.jpg,Comida para perros,Advance-Perro-Articular,Perros,15.99,0,TRUE,AMOUNT,0,,3,,,,,,,,,,,,,,,,,,,Cantidad,3kg,,,,,,,,,,,C,2,FALSE
21,Product,ADVANCE Veterinary Diets Articular Care Senior ,"ADVANCE VETERINARY DIETS ARTICULAR SENIOR es un alimento formulado para la recuperación y el apoyo nutricional al tratamiento médico de perros de más de 7 años con problemas de articulaciones. COLÁGENO HIDROLIZADO, contribuye a la regeneración del cartílago articular. ÁCIDO HIALURÓNICO, Omega 3 y 6 que ayudan a controlar la respuesta inflamatoria. GLUCOSAMINA y CONDROITINA que ayudan a reducir el desgaste del cartílago. EXTRACTO DE HIERBA LUISA Y LEUCINA que ayudan a la acción antioxidante y a regenerar la masa muscular.",https://images-na.ssl-images-amazon.com/images/I/41ySG5zZY%2BL._AC_SX569_.jpg,Comida para perros,Advance-Perro-Articular-Sr,Perros,15.99,0,TRUE,AMOUNT,0,,3,,,,,,,,,,,,,,,,,,,Cantidad,3kg,,,,,,,,,,,C,2,FALSE
22,Product,ADVANCE Veterinary Diets Atopic Care MediumMaxi,"ADVANCE VETERINARY DIETS ATOPIC MEDIUM/MAXI es un alimento completo para perros de razas medianas y grandes, formulado para cuidar de la piel en caso de dermatitis y pérdida de pelo excesiva. ALOE VERA: ayuda a reparar y mantener la hidratación de la piel TRUCHA Y PATATA: disminuyen el riesgo de reacciones adversas al alimento. PÉPTIDOS DE COLÁGENOS: contribuyen a una mejor cicatrización. OMEGA 3 Y 6 EXTRACTO DE HOJA DE OLIVO: Ayudan a reducir la inflamación y a mantener la salud de la piel.",https://images-na.ssl-images-amazon.com/images/I/41E6Fi-ZNbL._AC_SX569_.jpg,Comida para perros,Advance-Perro-Atopic,Perros,19.99,0,TRUE,AMOUNT,0,,3,,,,,,,,,,,,,,,,,,,Cantidad,3kg,,,,,,,,,,,C,2,FALSE
23,Product,ADVANCE Veterinary Diets Atopic Care Mini ,"ADVANCE VETERINARY DIETS ATOPIC MINI es un alimento dietético completo para perros mini , formulado para cuidar de la piel en caso de dermatitis y pérdida de pelo excesiva. REDUCCIÓN DE LA INFLAMACIÓN gracias al Omega 3 y 6, y extracto de hoja de olivo que ayudan a mantener la salud de la piel. ALOE VERA: ayuda a reparar y mantener la hidratación de la piel. TRUCHA Y PATATA: disminuyen el riesgo de reacciones adversas al alimento COLLAGEN PEPTIDES Péptidos de colágeno: contribuyen a una mejor cicatrización",https://images-na.ssl-images-amazon.com/images/I/41AAgu3CdTL._AC_SX569_.jpg,Comida para perros,Advance-Perro-Atopic-Mini,Perros,10.99,0,TRUE,AMOUNT,0,,1.5,,,,,,,,,,,,,,,,,,,Cantidad,1.5kg,,,,,,,,,,,C,2,FALSE
24,Product,ADVANCE Veterinary Diets Atopic Care MediumMaxi,"ADVANCE VETERINARY DIETS ATOPIC CONEJO & GUISANTES es un alimento completo y equilibrado para perros adultos formulado para cuidar de la piel en caso de dermatitis y pérdida de pelo excesiva. REDUCCIÓN DE LA INFLAMACIÓN gracias al Omega 3 y 6, y extracto de hoja de olivo que ayudan a mantener la salud de la piel. CONEJO Y GUISANTE: Disminuyen el riesgo de reacciones adversas al alimento. ALOE VERA: Ayuda a reparar y mantener la hidratación de la piel. PÉPTIDOS DE COLÁGENO: Contribuyen a una mejor cicatrización.",https://images-na.ssl-images-amazon.com/images/I/41kHdqsTTGL._AC_SX569_.jpg,Comida para perros,Advance-Perro-Atopic-Rabbit,Perros,18.99,0,TRUE,AMOUNT,0,,3,,,,,,,,,,,,,,,,,,,Cantidad,3kg,,,,,,,,,,,C,2,FALSE
25,Product,Advance Atopic Care Champuacute,ADVANCE ATOPIC CARE CHAMPÚ 300 ML.,https://images-na.ssl-images-amazon.com/images/I/31FQZNCW9vL._AC_SX569_.jpg,Higiene,Advance-Champú,Champú,15.8,0,TRUE,AMOUNT,0,,0.3,,,,,,,,,,,,,,,,,,,Quantidad,300ml,,,,,,,,,,,C,2,FALSE
26,Product,Advance diabetes colitis canine dieta,"Rico en GLUCIDES (ORGE) Reduce la glucosa postprandial. Rico en fibras sólidas (PULPE DE BETERAVE) contribuye a la salud del colon gracias a la producción de ácidos grasos de cadena corta y estimula el crecimiento y la actividad de la flora intestinal para regular el tránsito intestinal. Reduce grasa y caloría; ayuda a los perros a mantener una condición óptima, reduciendo la acumulación de grasa y sobrepeso. Antióxidos naturales que actúan en sinergia con vitamina E y C, aumentando así el efecto antioxidante y reduciendo las lesiones celulares oxidativas.",https://images-na.ssl-images-amazon.com/images/I/41Qt7zlO5ML._AC_SX569_.jpg,Comida para perros,Advance-Perro-Diabetes,Perros,25.51,0,TRUE,AMOUNT,0,,3,,,,,,,,,,,,,,,,,,,Cantidad,3kg,,,,,,,,,,,C,2,FALSE
27,Product,ADVANCE Veterinary Diets Gastroenteric ,ADVANCE VETERINARY DIETS GASTROENTERIC es un alimento completo para cachorros y perros adultos que ayuda a reducir los trastornos gastrointestinales y casos de insuficiencia pancreática exocrina. INMUNOGLOBULINAS que ayudna a modular la respuesta inmunitaria intestinal. ACEITE DE COCO: fuente de ácidos grasos de rápida absorción y disponibilidad. GLUTAMINA: aminoácido que ayuda a mantener la salud de la pared intestinal. PREBIÓTICOS: favorecen el desarrollo de la flora intestinal beneficiosa.,https://images-na.ssl-images-amazon.com/images/I/41qpgNvVUQL._AC_SX569_.jpg,Comida para perros,Advance-Perro-Gastro,Perros,16.99,0,TRUE,AMOUNT,0,,3,,,,,,,,,,,,,,,,,,,Cantidad,3kg,,,,,,,,,,,C,2,FALSE
28,Product,ADVANCE Veterinary Diets Hypoallergenic,"ADVANCE VETERINARY DIETS Hypoallergenic es un alimento dietético completo para cachorros y perros adultos, creado para reducir las intolerancias a ingredientes y nutrientes. ACEITE DE COCO: fuente de ácidos grasos de rápida absorción y disponibilidad. ALTA PALATABILIDAD: recubrimiento hipoalergénico con un buen sabor. PROTEÍNA con una alta tolerancia alimentaria.",https://images-na.ssl-images-amazon.com/images/I/41sn3Cm-cML._AC_SX569_.jpg,Comida para perros,Advance-Perro-Hypo,Perros,19.99,0,TRUE,AMOUNT,0,,2.5,,,,,,,,,,,,,,,,,,,Cantidad,2.5kg,,,,,,,,,,,C,2,FALSE
29,Product,ADVANCE Adult Maxi,"Proporción óptima de calcio-fósforo, y vitamina D para garantizar un crecimiento y desarrollo óseo adecuados Con condroitina y glucosamina para ayudar a preservar la salud del cartílago de las articulaciones Inmunoglobulinas, polifenoles y un alto nivel de proteínas para reforzar las defensas naturales de tu cachorro Pollo y arroz como ingredientes principales, fuentes excelentes de proteínas y carbohidratos de fácil digestión",https://images-na.ssl-images-amazon.com/images/I/41uZ%2BfUt1oL._AC_SX569_.jpg,Comida para perros,Advance-Perro-Jr-Maxi,Perros,46.43,0,TRUE,AMOUNT,0,,14,,,,,,,,,,,,,,,,,,,Cantidad,14kg,,,,,,,,,,,C,2,FALSE
30,Product,ADVANCE Veterinary Diets Leishmaniasis ,AVET DOG LEISHMANIASIS MANAGEMENT 12KG Producto nuevo Producto de alta calidad Advance Veterinary Diets es un nombre de marca reconocido,https://images-na.ssl-images-amazon.com/images/I/41obcmlRzhL._AC_SX569_.jpg,Comida para perros,Advance-Perro-Leish,Perros,54.74,0,TRUE,AMOUNT,0,,12,,,,,,,,,,,,,,,,,,,Cantidad,12kg,,,,,,,,,,,C,2,FALSE
31,Product,ADVANCE Light Maxi Adult,ADVANCE Light Maxi es un alimento de alta gama especialmente indicado para perros de razas grandes (más de 30 kg) con sobrepeso y tendencia a la obesidad. BAJO EN GRASAS para mantener un buen peso ALTO CONTENIDO DE FIBRA para ayudar a ofrecer un efecto saciante. COMPLETO Y EQUILIBRADO. Receta basada en pollo y arroz con vitaminas y minerales para ofrecer un alimento completo y equilibrado FÓRMULA sin conservantes artificiales ni colorantes.,https://images-na.ssl-images-amazon.com/images/I/41898VUFqEL._AC_SX569_.jpg,Comida para perros,Advance-Perro-Light,Perros,44.99,0,TRUE,AMOUNT,0,,14,,,,,,,,,,,,,,,,,,,Cantidad,14kg,,,,,,,,,,,C,2,FALSE
32,Product,ADVANCE Light Adult Medium,ADVANCE Light Medium es un alimento de alta gama especialmente indicado para perros de razas medianas (10-30kg) con sobrepeso y tendencia a la obesidad. BAJO EN GRASAS para mantener un buen peso ALTO CONTENIDO DE FIBRA para ayudar a ofrecer un efecto saciante. COMPLETO Y EQUILIBRADO. Receta basada en pollo y arroz con vitaminas y minerales para ofrecer un alimento completo y equilibrado FÓRMULA sin conservantes artificiales ni colorantes.,https://images-na.ssl-images-amazon.com/images/I/41fK5gg-olL._AC_SX569_.jpg,Comida para perros,Advance-Perro-Light-md,Perros,38.99,0,TRUE,AMOUNT,0,,3,,,,,,,,,,,,,,,,,,,Cantidad,3kg,,,,,,,,,,,C,2,FALSE
33,Product,ADVANCE Light Adult Mini,ADVANCE Light Mini es un alimento de alta gama especialmente indicado para perros de razas pequeñas (hasta 10kgs) con sobrepeso y tendencia a la obesidad. BAJO EN GRASAS para mantener un buen peso ALTO CONTENIDO DE FIBRA para ayudar a ofrecer un efecto saciante. COMPLETO Y EQUILIBRADO. Receta basada en pollo y arroz con vitaminas y minerales para ofrecer un alimento completo y equilibrado FÓRMULA sin conservantes artificiales ni colorantes.,https://images-na.ssl-images-amazon.com/images/I/41XV8CpLjgL._AC_SX569_.jpg,Comida para perros,Advance-Perro-Light-Jr,Perros,16.99,0,TRUE,AMOUNT,0,,3,,,,,,,,,,,,,,,,,,,Cantidad,3kg,,,,,,,,,,,C,2,FALSE
34,Product,ADVANCE Puppy Maxi,"Advance Maxi Puppy es un alimento de alta gama formulado para cubrir las necesidades nutricionales específicas de cachorros de razas grandes (más de 30 kg) FÁCIL DIGESTIÓN. Pollo y arroz como ingredientes principales, excelentes fuentes de proteínas y carbohidratos fáciles de digerir. DESARROLLO ÓSEO. Proporción óptima de calcio y fósforo, y vitamina D para garantizar un crecimiento y desarrollo adecuado de los huesos. DESARROLLO DEL CEREBRO Y LA VISIÓN. Ácidos grasos Omega 3 para ayudar al correcto desarrollo del sistema nervioso central, el proceso de aprendizaje y la visión. SISTEMA INMUNOLÓGICO. Inmunoglobulinas, nucleótidos y un alto nivel de proteínas para reforzar las defensas naturales de tu cachorro.",https://images-na.ssl-images-amazon.com/images/I/41Ln0-oRwIL._AC_SX569_.jpg,Comida para perros,Advance-Perro-Maxi-Pup,Perros,16.89,0,TRUE,AMOUNT,0,,3,,,,,,,,,,,,,,,,,,,Cantidad,3kg,,,,,,,,,,,C,2,FALSE
